 1898  69718  69343  2005   375   1630  67713  22942  44771
 1899  74558  74312  1945   246   1699  72613  23142  49471
 1900  75486  75235  2007   251   1756  73479  23343  50136
 1901  78764  78528  2080   236   1844  76684  23489  53195
 1902  82109  81899  2117   210   1907  79992  23635  56357
 1903  84524  84314  2183   210   1973  82341  23781  58560
 1904  83351  83130  2250   221   2029  81101  23927  57174
 1905  87459  87242  2352   217   2135  85107  24072  61035
 1906  90904  90679  2450   225   2225  88454  24218  64236
 1907  92980  92761  2570   219   2351  90410  24364  66046
 1908  89188  88931  2693   257   2436  86495  24510  61985
 1909  94054  93771  2835   283   2552  91219  24656  66563
 1910  96605  96329  2972   276   2696  93633  24802  68831
 1911  98500  98211  3079   289   2790  95421  25319  70102
 1912 101647 101342  3210   305   2905  98437  25651  72786
 1913 102466 102158  3302   308   2994  99164  25325  73839
 1914 100745 100416  3435   329   3106  97310  26100  71210
 1915  99982  99638  3555   344   3211  96427  25568  70859
 1916 107072 106718  3647   354   3293 103425  25418  78007
 1917 110690 108993  5105  1697   3408 105585  26126  79459
 1918 114876 108913 10113  5963   4150 104763  26480  78283
 1919 107930 105387  6516  2543   3973 101414  25992  75422
 1920 107226 106519  4496   707   3789 102730  26394  76336
 1921  96877  96175  4362   702   3660  92515  24348  68167
 1922 103770 103244  4311   526   3785  99459  25190  74269
 1923 111793 111308  4432   485   3947 107361  25367  81994
 1924 109475 108959  4623   516   4107 104852  25655  79197
 1925 113442 112938  4833   504   4329 108609  26180  82429
 1926 117354 116858  4961   496   4465 112393  26266  86127
 1927 116906 116406  5155   500   4655 111751  25243  86508
 1928 118028 117524  5253   504   4749 112775  25692  87083
 1929 120338 119825  5397   513   4884 114941  25474  89467
 1930 112632 112119  5565   513   5052 107067  25213  81854
 1931 103769 103284  5613   485   5128  98156  25770  72386
 1932  92383  91908  5448   475   4973  86935  24866  62069
 1933  92552  92079  6495   473   6022  86057  24809  61248
 1934  92619  92155  7998   464   7534  84621  22255  62366
 1935  97756  97277  8576   479   8097  89180  23157  66023
 1936 106835 106320 10925   515  10410  95910  22484  73426
 1937 111443 110887  9568   556   9012 101875  24307  77568
 1938 103788 103211 10693   577  10116  93095  22635  70460
 1939 108532 107927 10653   605  10048  97879  22748  75131
 1940 112978 112007 10797   971   9826 102181  22847  79334
 1941 124204 121006 12874  3198   9676 111330  22054  89276
 1942 138323 129762 18333  8561   9772 119990  22934  97056
 1943 156325 135269 31942 21056  10886 124383  22750 101633
 1944 160012 133509 37358 26503  10855 122654  22530 100124
 1945 150012 126029 34073 23983  10090 115939  21019  94920
 1946 131474 125375 14538  6099   8439 116936  20265  96671
 1947 130317 127477 10893  2840   8053 119424  19352 100072
 1948 131390 128783 10924  2607   8317 120466  20407 100059
 1949 127537 124688 11448  2849   8599 116089  20463  95626
 1950 129917 126908 11874  3009   8865 118043  18864  99179
 1951 137322 131774 15159  5548   9611 122163  17850 104313
 1952 139575 133027 16548  6548  10000 123027  16947 106080
 1953 139709 133328 16445  6381  10064 123264  15756 107508
 1954 134269 128282 16083  5987  10096 118186  15269 102917
 1955 138157 132712 15870  5445  10425 122287  15527 106760
 1956 139996 134870 15962  5126  10836 124034  14821 109213
 1957 138586 133571 16152  5015  11137 122434  13575 108859
 1958 133653 128915 16190  4738  11452 117463  12579 104884
 1959 137696 133119 16367  4577  11790 121329  12556 108773
 1960 139504 134975 16767  4529  12238 122737  12329 110408
 1961 138076 133400 17279  4676  12603 120797  11536 109261
 1962 141143 136103 18092  5040  13052 123051  11259 111792
 1963 142457 137556 18385  4901  13484 124072  10640 113432
 1964 145345 140449 18840  4896  13944 126505  10232 116273
 1965 150001 145083 19449  4918  14531 130552   9964 120588
 1966 155741 150060 21166  5681  15485 134575   9056 125519
 1967    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1968    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1969    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1970    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1971    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1972    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1973    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1974    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1975    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1976    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1977    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1978    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1979    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1980    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1981    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1982    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1983    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1984    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1985    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1986    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1987    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1988    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1989    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1990    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1991    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1992    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1993    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1994    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1995    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1996    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1997    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1998    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN

